City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,281.28,91,100,17.17,TF,['dt']
1,kristiansund,63.1115,7.732,277.51,87,100,6.17,NO,['dt']
2,codrington,-38.2667,141.9667,290.98,59,87,8.73,AU,['dt']
3,invercargill,-46.4,168.35,288.16,83,100,2.68,NZ,['dt']
4,sinazongwe,-17.2614,27.4618,297.02,87,100,2.02,ZM,['dt']
5,vilyuchinsk,52.9306,158.4028,265.3,85,100,3.24,RU,['dt']
6,waitangi,-43.9535,-176.5597,290.83,96,63,11.43,NZ,['dt']
7,mitsamiouli,-11.3847,43.2844,300.62,83,100,6.74,KM,['dt']
8,ribeira grande,38.5167,-28.7,288.02,87,91,1.79,PT,['dt']
9,port mathurin,-19.6833,63.4167,301.23,75,100,4.24,MU,['dt']
10,petropavlovsk-kamchatsky,53.0452,158.6483,264.48,81,75,5.0,RU,['dt']
11,umea,63.8284,20.2597,264.11,79,75,4.63,SE,['dt']
12,green river,41.5286,-109.4662,265.37,94,74,0.76,US,['dt']
13,grytviken,-54.2811,-36.5092,274.72,81,36,5.21,GS,['dt']
14,avarua,-21.2078,-159.775,300.18,78,75,7.2,CK,['dt']
15,zhaqsy,51.9083,67.3133,256.83,93,100,8.67,KZ,['dt']
16,wailua homesteads,22.0669,-159.378,297.59,54,0,7.72,US,['dt']
17,turpan,42.9333,89.1667,270.92,61,75,0.54,CN,['dt']
18,blackmans bay,-43.0167,147.3167,294.0,44,7,1.34,AU,['dt']
19,constantia,44.1833,28.65,268.54,77,12,4.32,RO,['dt']
20,villa de arista,22.65,-100.8333,296.6,23,100,2.01,MX,['dt']
21,remire-montjoly,4.9167,-52.2667,298.17,94,75,0.0,GF,['dt']
22,adamstown,-25.066,-130.1015,297.25,78,23,7.39,PN,['dt']
23,isafjordur,66.0755,-23.124,270.62,82,87,4.39,IS,['dt']
24,bethel,41.3712,-73.414,279.01,50,100,6.69,US,['dt']
25,rongelap,11.1635,166.8941,299.96,73,68,8.06,MH,['dt']
26,sept-iles,50.2001,-66.3821,265.15,95,100,6.69,CA,['dt']
27,ushuaia,-54.8,-68.3,277.94,87,100,14.4,AR,['dt']
28,taksimo,56.3444,114.8794,243.52,85,60,0.46,RU,['dt']
29,port alfred,-33.5906,26.891,293.25,99,71,2.5,ZA,['dt']
30,longyearbyen,78.2186,15.6401,256.06,71,40,10.8,SJ,['dt']
31,west island,-12.1568,96.8225,300.14,94,18,2.06,CC,['dt']
32,albany,42.6001,-73.9662,276.8,69,31,0.89,US,['dt']
33,ust-nera,64.5667,143.2,227.42,99,71,1.37,RU,['dt']
34,ponta delgada,37.7333,-25.6667,291.59,94,75,10.29,PT,['dt']
35,edinburgh of the seven seas,-37.0676,-12.3116,289.96,75,97,5.45,SH,['dt']
36,puerto natales,-51.7236,-72.4875,279.85,77,98,7.56,CL,['dt']
37,nabire,-3.3667,135.4833,298.8,89,100,0.59,ID,['dt']
38,juneau,58.3019,-134.4197,268.15,95,100,5.14,US,['dt']
39,lebu,-37.6167,-73.65,287.15,79,0,7.06,CL,['dt']
40,thompson,55.7435,-97.8558,247.24,70,75,4.12,CA,['dt']
41,tolanaro,-25.0319,46.9987,299.19,78,20,7.2,MG,['dt']
42,borzya,50.3833,116.5167,241.89,94,9,0.34,RU,['dt']
43,st. john's,47.5649,-52.7093,272.53,87,100,3.13,CA,['dt']
44,talagang,32.9297,72.4158,281.66,36,0,1.22,PK,['dt']
45,san matias,-16.3667,-58.4,299.3,79,95,2.35,BO,['dt']
46,yellowknife,62.456,-114.3525,237.27,88,20,2.57,CA,['dt']
47,hawaiian paradise park,19.5933,-154.9731,297.52,75,100,6.17,US,['dt']
48,iskateley,67.6803,53.1512,260.38,96,100,3.13,RU,['dt']
49,kayyerkan,69.3786,87.7439,237.74,88,64,2.54,RU,['dt']
50,anloga,5.7947,0.8973,300.99,78,68,3.8,GH,['dt']
51,nazaret,32.7036,35.2956,284.62,89,81,3.97,IL,['dt']
52,san patricio,28.017,-97.5169,292.2,57,1,4.2,US,['dt']
53,ozark,37.0209,-93.206,265.53,80,73,1.79,US,['dt']
54,puerto ayora,-0.7393,-90.3518,299.01,92,15,2.24,EC,['dt']
55,santa quiteria,-4.3319,-40.1567,297.74,84,93,1.35,BR,['dt']
56,tura,25.5198,90.2201,284.89,67,15,1.73,IN,['dt']
57,nizhniy odes,63.6445,54.856,258.69,97,100,2.67,RU,['dt']
58,nuuk,64.1835,-51.7216,276.49,87,100,12.35,GL,['dt']
59,blue haven,-33.2108,151.5041,299.81,94,100,4.91,AU,['dt']
60,la passe,45.5549,-0.8967,272.28,77,95,2.77,FR,['dt']
61,iqaluit,63.7506,-68.5145,267.0,86,100,3.6,CA,['dt']
62,utrik,11.2278,169.8474,299.92,70,100,7.86,MH,['dt']
63,georgetown,5.4112,100.3354,299.23,84,20,3.6,MY,['dt']
64,garden city,42.3256,-83.331,271.4,78,100,10.29,US,['dt']
65,arteche,12.2645,125.4048,299.55,82,75,7.56,PH,['dt']
66,east london,-33.0153,27.9116,295.61,91,92,2.43,ZA,['dt']
67,kokpekty,48.75,82.4,262.02,83,93,2.63,KZ,['dt']
68,ankang,32.68,109.0172,282.95,67,58,1.13,CN,['dt']
69,margaret river,-33.95,115.0667,300.64,47,95,3.36,AU,['dt']
70,ozieri,40.586,9.0012,278.33,97,66,2.53,IT,['dt']
71,uturoa,-16.7333,-151.4333,300.97,79,99,7.53,PF,['dt']
72,dongcun,36.7767,121.1597,275.59,84,99,7.66,CN,['dt']
73,colonia,50.9333,6.95,275.91,85,100,4.12,DE,['dt']
74,vorgashor,67.5833,63.95,244.56,96,98,2.23,RU,['dt']
75,igrim,63.1906,64.4162,238.19,100,74,1.02,RU,['dt']
76,tiksi,71.6872,128.8694,238.49,98,88,2.9,RU,['dt']
